L,p_ctrl,p_proj_index,p_proj_value,tmi_mean,tmi_sem
8,p_ctrl0.485,0,0.25,-0.36100705725157445,0.016375968391019683
8,p_ctrl0.485,1,0.25526315789473686,-0.32678580708749405,0.015895635444968467
8,p_ctrl0.485,2,0.26052631578947366,-0.3055598755551627,0.015695085394313774
8,p_ctrl0.485,3,0.2657894736842105,-0.3387683827333942,0.016001959256965178
8,p_ctrl0.485,4,0.2710526315789474,-0.32583701522777164,0.015734438118069575
8,p_ctrl0.485,5,0.2763157894736842,-0.3104522787534756,0.01580946990969311
8,p_ctrl0.485,6,0.28157894736842104,-0.312406522457846,0.015502237768157482
8,p_ctrl0.485,7,0.2868421052631579,-0.28799551457259187,0.014791408703130898
8,p_ctrl0.485,8,0.29210526315789476,-0.29044379930495395,0.014969009924601376
8,p_ctrl0.485,9,0.29736842105263156,-0.29396325938155865,0.01492234326982258
8,p_ctrl0.485,10,0.3026315789473684,-0.29401759528068905,0.014697575830071313
8,p_ctrl0.485,11,0.3078947368421052,-0.27061111919468106,0.015008782668487472
8,p_ctrl0.485,12,0.3131578947368421,-0.24646145454499263,0.013873523445130955
8,p_ctrl0.485,13,0.31842105263157894,-0.2370701619933845,0.014020441022446695
8,p_ctrl0.485,14,0.3236842105263158,-0.24919335462419212,0.014546734668545216
8,p_ctrl0.485,15,0.3289473684210526,-0.22336796906585318,0.01355602037685385
8,p_ctrl0.485,16,0.33421052631578946,-0.23936736440724338,0.01376218716190917
8,p_ctrl0.485,17,0.3394736842105263,-0.232180920417787,0.01380695100234578
8,p_ctrl0.485,18,0.3447368421052631,-0.20258875878260052,0.013646876378267165
8,p_ctrl0.485,19,0.35,-0.23119292717741272,0.013525347691061097
12,p_ctrl0.485,0,0.25,-0.3217600360738444,0.01863201277569373
12,p_ctrl0.485,1,0.25526315789473686,-0.323309686949407,0.019094105502155255
12,p_ctrl0.485,2,0.26052631578947366,-0.358050705743066,0.019109475034158507
12,p_ctrl0.485,3,0.2657894736842105,-0.2872374244945396,0.01790696256784166
12,p_ctrl0.485,4,0.2710526315789474,-0.3341485512304313,0.018958932989219787
12,p_ctrl0.485,5,0.2763157894736842,-0.30684167820565655,0.018163993405983053
12,p_ctrl0.485,6,0.28157894736842104,-0.3125968015001049,0.0179941404031054
12,p_ctrl0.485,7,0.2868421052631579,-0.2951510263836313,0.01783565943644181
12,p_ctrl0.485,8,0.29210526315789476,-0.3029522604722233,0.018732959981043757
12,p_ctrl0.485,9,0.29736842105263156,-0.30090014683462857,0.017828308569226625
12,p_ctrl0.485,10,0.3026315789473684,-0.3071461150063472,0.018026384500425967
12,p_ctrl0.485,11,0.3078947368421052,-0.2784373475283362,0.017326548322624865
12,p_ctrl0.485,12,0.3131578947368421,-0.27847123819326924,0.017741607256803734
12,p_ctrl0.485,13,0.31842105263157894,-0.3114469313562859,0.01779108984523292
12,p_ctrl0.485,14,0.3236842105263158,-0.2577377957261159,0.016718114571223942
12,p_ctrl0.485,15,0.3289473684210526,-0.2315097814570733,0.0164709083531655
12,p_ctrl0.485,16,0.33421052631578946,-0.2542344264892843,0.0166507603080273
12,p_ctrl0.485,17,0.3394736842105263,-0.23278583092847033,0.017150057023223517
12,p_ctrl0.485,18,0.3447368421052631,-0.23955149793918037,0.016541063698252822
12,p_ctrl0.485,19,0.35,-0.25120347761423156,0.016533128913842027
16,p_ctrl0.485,0,0.25,-0.3485659488578955,0.022151884531669955
16,p_ctrl0.485,1,0.25526315789473686,-0.3208663326534473,0.0221150521833956
16,p_ctrl0.485,2,0.26052631578947366,-0.35327673919760755,0.02174752864830984
16,p_ctrl0.485,3,0.2657894736842105,-0.36495912989343604,0.022717373579103705
16,p_ctrl0.485,4,0.2710526315789474,-0.3699144399314548,0.022770451851791506
16,p_ctrl0.485,5,0.2763157894736842,-0.33246456396980495,0.02243924070441788
16,p_ctrl0.485,6,0.28157894736842104,-0.32736019102510466,0.021937196173179508
16,p_ctrl0.485,7,0.2868421052631579,-0.30742219012059774,0.02142136144111466
16,p_ctrl0.485,8,0.29210526315789476,-0.3291309861470761,0.021057765170205873
16,p_ctrl0.485,9,0.29736842105263156,-0.32097883453102155,0.02129546161439071
16,p_ctrl0.485,10,0.3026315789473684,-0.26641278804887963,0.020365651016969032
16,p_ctrl0.485,11,0.3078947368421052,-0.26579969817341315,0.019958740381784995
16,p_ctrl0.485,12,0.3131578947368421,-0.3051070039362869,0.0207528964980982
16,p_ctrl0.485,13,0.31842105263157894,-0.2919938908124412,0.021035080322774017
16,p_ctrl0.485,14,0.3236842105263158,-0.2931709554807006,0.02055125347191024
16,p_ctrl0.485,15,0.3289473684210526,-0.24075547996285734,0.019720701204025703
16,p_ctrl0.485,16,0.33421052631578946,-0.2902084709681367,0.020415901380644908
16,p_ctrl0.485,17,0.3394736842105263,-0.29875252044287914,0.020535265443946897
16,p_ctrl0.485,18,0.3447368421052631,-0.265702018873635,0.019585263391718094
16,p_ctrl0.485,19,0.35,-0.27087239310180683,0.019158188399991755
20,p_ctrl0.485,0,0.25,-0.3954529351428249,0.02702434571535626
20,p_ctrl0.485,1,0.25526315789473686,-0.3836400506299159,0.025719810324316666
20,p_ctrl0.485,2,0.26052631578947366,-0.3795597918847941,0.025958125830753475
20,p_ctrl0.485,3,0.2657894736842105,-0.32121121688334864,0.02414926238101798
20,p_ctrl0.485,4,0.2710526315789474,-0.3672682921457936,0.025277848032974136
20,p_ctrl0.485,5,0.2763157894736842,-0.3686663090850091,0.025574673303125923
20,p_ctrl0.485,6,0.28157894736842104,-0.3805971356326405,0.0252200378814842
20,p_ctrl0.485,7,0.2868421052631579,-0.3278274769979988,0.023527569400469683
20,p_ctrl0.485,8,0.29210526315789476,-0.34753097874763944,0.024418040828741522
20,p_ctrl0.485,9,0.29736842105263156,-0.3347020950899778,0.023808733159491734
20,p_ctrl0.485,10,0.3026315789473684,-0.3100516139800768,0.023214376776498735
20,p_ctrl0.485,11,0.3078947368421052,-0.32502619012815026,0.02388523965812054
20,p_ctrl0.485,12,0.3131578947368421,-0.3738280414641287,0.024556825130322715
20,p_ctrl0.485,13,0.31842105263157894,-0.3015659680413855,0.02332502291012883
20,p_ctrl0.485,14,0.3236842105263158,-0.28998378432193817,0.022508642110284152
20,p_ctrl0.485,15,0.3289473684210526,-0.27776279457596764,0.022708468097734455
20,p_ctrl0.485,16,0.33421052631578946,-0.3041202805049499,0.023019047069308005
20,p_ctrl0.485,17,0.3394736842105263,-0.25952432962407057,0.02223576472830167
20,p_ctrl0.485,18,0.3447368421052631,-0.2896213724960992,0.02212093420784398
20,p_ctrl0.485,19,0.35,-0.2936040619218214,0.022137115462692487
